wiki,title,length,unit,over_threshold
en.wikipedia.org,1647 in Denmark,7,words,False
en.wikipedia.org,Arcata Community Recycling Center,112,words,False
en.wikipedia.org,Battle of Hamburger Hill,164,words,False
en.wikipedia.org,"Eagle & Child, York",223,words,False
en.wikipedia.org,Eric Fingerhut,117,words,False
en.wikipedia.org,Gwadar–Mastung Railway,42,words,False
en.wikipedia.org,Illescas National Reserve,156,words,False
en.wikipedia.org,Jonas Galusha,285,words,False
en.wikipedia.org,Libertini,49,words,False
en.wikipedia.org,McAuley School District No. 27,85,words,False
en.wikipedia.org,Nusantara Society,73,words,False
en.wikipedia.org,Pelagicola,11,words,False
en.wikipedia.org,Pierre-René Rogue,114,words,False
en.wikipedia.org,Prašuma Janj,59,words,False
en.wikipedia.org,Ramanathaswamy Temple,169,words,False
en.wikipedia.org,Rise of Industry,109,words,False
en.wikipedia.org,Salman Bhojani,73,words,False
en.wikipedia.org,Slepčany,19,words,False
en.wikipedia.org,Terry Ferguson,31,words,False
en.wikipedia.org,Veeremäe,27,words,False
en.wikipedia.org,"Beckville, Piedmont, Missouri",30,words,False
en.wikipedia.org,Bergnäset,16,words,False
en.wikipedia.org,Betu,40,words,False
en.wikipedia.org,Dacu,31,words,False
en.wikipedia.org,Geoffrey Willans,417,words,True
en.wikipedia.org,In Radiant Decay,49,words,False
en.wikipedia.org,"Klinovka, Republic of Bashkortostan",27,words,False
en.wikipedia.org,Kora (instrument),37,words,False
en.wikipedia.org,Lino (film),59,words,False
en.wikipedia.org,Pailton Engineering Ltd,31,words,False
en.wikipedia.org,Patricia Owens (academic),114,words,False
en.wikipedia.org,Picochlorum oklahomense,49,words,False
en.wikipedia.org,Quality Dairy Company,109,words,False
en.wikipedia.org,"Robert de Brus, 4th Lord of Annandale",12,words,False
en.wikipedia.org,Ruhabad District,59,words,False
en.wikipedia.org,Tarsocera,14,words,False
en.wikipedia.org,Tumarz,33,words,False
en.wikipedia.org,Veermata Jijabai Technological Institute,159,words,False
en.wikipedia.org,Wong Choong Hann,56,words,False
en.wikipedia.org,Yubbe,68,words,False
en.wikipedia.org,2021–22 Portland Pilots men's basketball team,106,words,False
en.wikipedia.org,2026–27 AS Nancy Lorraine season,33,words,False
en.wikipedia.org,Barberini ivory,288,words,False
en.wikipedia.org,Eli Azur,22,words,False
en.wikipedia.org,Illinois Gaming Board,45,words,False
en.wikipedia.org,Ithome curvipunctella,56,words,False
en.wikipedia.org,Jakub Sypek,22,words,False
en.wikipedia.org,John S. Arnick,58,words,False
en.wikipedia.org,Lobster sauce,143,words,False
en.wikipedia.org,Masae,63,words,False
en.wikipedia.org,Non-dimensionalization and scaling of the Navier–Stokes equations,188,words,False
en.wikipedia.org,Philotheca coccinea,42,words,False
en.wikipedia.org,Pterothrix,35,words,False
en.wikipedia.org,Reidar Kjellberg,18,words,False
en.wikipedia.org,"San Martino, Monteriggioni",44,words,False
en.wikipedia.org,Skoog,108,words,False
en.wikipedia.org,Steilacoom people,21,words,False
en.wikipedia.org,The Orbital Children,256,words,False
en.wikipedia.org,Tudor Arghezi metro station,193,words,False
en.wikipedia.org,Yasemin Güveli,50,words,False
en.wikipedia.org,Allied Architects Association,175,words,False
en.wikipedia.org,Camp Thomas (disambiguation),64,words,False
en.wikipedia.org,Changi Naval Base,85,words,False
en.wikipedia.org,Ferroviário de Maputo (basketball),41,words,False
en.wikipedia.org,ITV Tyne Tees & Border,56,words,False
en.wikipedia.org,Independent forest monitoring,107,words,False
en.wikipedia.org,Island 35 Mastodon,85,words,False
en.wikipedia.org,John Marshall Martin,26,words,False
en.wikipedia.org,List of Suffolk County Cricket Club grounds,98,words,False
en.wikipedia.org,Norman Rentrop,241,words,False
en.wikipedia.org,Nuclear localization sequence,75,words,False
en.wikipedia.org,Oliver Barrett,44,words,False
en.wikipedia.org,Philonome spectata,80,words,False
en.wikipedia.org,S. Shankar (writer),204,words,False
en.wikipedia.org,Taxi at Midnight,47,words,False
en.wikipedia.org,"The Fox Inn, Hanwell",44,words,False
en.wikipedia.org,The Improv Centre,100,words,False
en.wikipedia.org,Thomas Jefferson Jackson See,70,words,False
en.wikipedia.org,Tydus Winans,60,words,False
en.wikipedia.org,Wai Ching Ho,93,words,False
en.wikipedia.org,1979 Challenge Cup,64,words,False
en.wikipedia.org,Brainpower,23,words,False
en.wikipedia.org,Bret Erickson,35,words,False
en.wikipedia.org,COVID-19 pandemic in Slovakia,106,words,False
en.wikipedia.org,Casa Condominio Residenza,225,words,False
en.wikipedia.org,Children of Chance (1930 film),25,words,False
en.wikipedia.org,False Face (film),79,words,False
en.wikipedia.org,Good Move!,21,words,False
en.wikipedia.org,Kakni River,64,words,False
en.wikipedia.org,Kevin M. Esvelt,105,words,False
en.wikipedia.org,Lead (sea ice),131,words,False
en.wikipedia.org,List of UK Country Albums Chart number ones of 2017,251,words,False
en.wikipedia.org,Matzinger,24,words,False
en.wikipedia.org,Mudappallur,33,words,False
en.wikipedia.org,Pachyphyllone,17,words,False
en.wikipedia.org,Roger Ackling,44,words,False
en.wikipedia.org,South East England (European Parliament constituency),39,words,False
en.wikipedia.org,The Voice Kids (South Korean TV series),46,words,False
en.wikipedia.org,This Crazy Heart of Mine,46,words,False
en.wikipedia.org,Trevor Lummis,39,words,False
en.wikipedia.org,A Garage Dayz Nite,116,words,False
en.wikipedia.org,African BMX Racing Championships,73,words,False
en.wikipedia.org,Asa L. Baldwin,44,words,False
en.wikipedia.org,Battle of Hürtgen Forest,453,words,True
en.wikipedia.org,Fallschirm Leuchtpatrone,41,words,False
en.wikipedia.org,Flibustierowie,108,words,False
en.wikipedia.org,Gareth Roberts (writer),40,words,False
en.wikipedia.org,Gösta Törner,11,words,False
en.wikipedia.org,Hōyo Strait,19,words,False
en.wikipedia.org,"James Bray (cricketer, born 1853)",28,words,False
en.wikipedia.org,Kálmán Kádár,43,words,False
en.wikipedia.org,Lim Chuan Poh,88,words,False
en.wikipedia.org,Opicinumab,90,words,False
en.wikipedia.org,Ossicaulis semiocculta,34,words,False
en.wikipedia.org,Padma Nadir Majhi,33,words,False
en.wikipedia.org,Roman Zaretsky,69,words,False
en.wikipedia.org,Star in the Hood (company),76,words,False
en.wikipedia.org,Sticharium dorsale,29,words,False
en.wikipedia.org,Virgin Islands at the 2024 World Aquatics Championships,18,words,False
